split,vertical,record_count,original_context_tokens,compressed_context_tokens,token_reduction,token_reduction_pct,recall_before_compression,recall_after_compression,recall_loss,gold_evidence_retained_count
controlled_2000,airline,400,87814,67337,20477,0.233186,0.979792,0.979792,0.0,400
controlled_2000,finance,400,112101,79631,32470,0.28965,0.98,0.98,0.0,392
controlled_2000,healthcare_admin,400,74262,59950,14312,0.192723,1.0,1.0,0.0,400
controlled_2000,research_ai,400,140716,100385,40331,0.286613,0.973168,0.973168,0.0,392
controlled_2000,retail,400,112228,80120,32108,0.286096,0.93875,0.93875,0.0,400
final_10000,airline,2000,430563,331796,98767,0.22939,0.979958,0.979958,0.0,2000
final_10000,finance,2000,540011,383554,156457,0.289729,0.979375,0.979375,0.0,1959
final_10000,healthcare_admin,2000,372042,300185,71857,0.193142,1.0,1.0,0.0,2000
final_10000,research_ai,2000,708501,505388,203113,0.28668,0.967534,0.967534,0.0,1960
final_10000,retail,2000,539672,385252,154420,0.286137,0.94325,0.94325,0.0,2000
smoke_500,airline,100,22176,16955,5221,0.235435,0.98,0.98,0.0,100
smoke_500,finance,100,29794,21145,8649,0.290293,1.0,1.0,0.0,100
smoke_500,healthcare_admin,100,18518,14958,3560,0.192245,1.0,1.0,0.0,100
smoke_500,research_ai,100,34343,24481,9862,0.287162,1.0,1.0,0.0,100
smoke_500,retail,100,31836,22712,9124,0.286594,0.975,0.975,0.0,100
