split,memory_mode,vertical,record_count,recall_at_5,mrr,avg_retrieval_latency_ms,avg_context_tokens,gold_evidence_included_count,missing_gold_evidence_count,total_context_rows_selected,distinct_context_rows_used,retrieval_backend_label,compression_ratio,token_reduction_pct,recall_loss,token_reduction
controlled_2000,mm0_no_context,airline,400,0.0,0.0,0.0,0.0,0,801,0,0,unavailable,,,,0
controlled_2000,mm0_no_context,finance,400,0.0,0.0,0.0,0.0,0,876,0,0,unavailable,,,,0
controlled_2000,mm0_no_context,healthcare_admin,400,0.0,0.0,0.0,0.0,0,586,0,0,unavailable,,,,0
controlled_2000,mm0_no_context,research_ai,400,0.0,0.0,0.0,0.0,0,1906,0,0,unavailable,,,,0
controlled_2000,mm0_no_context,retail,400,0.0,0.0,0.0,0.0,0,498,0,0,unavailable,,,,0
controlled_2000,mm1_dense_top5,airline,400,0.915417,1.0,1.885498,248.3425,400,84,2000,87,local_fallback,,,,0
controlled_2000,mm1_dense_top5,finance,400,0.96,0.94675,5.235042,305.175,385,34,2000,366,local_fallback,,,,0
controlled_2000,mm1_dense_top5,healthcare_admin,400,0.97625,1.0,1.508175,242.6875,400,19,2000,109,local_fallback,,,,0
controlled_2000,mm1_dense_top5,research_ai,400,0.834845,0.958333,7.681807,280.7425,385,297,2000,571,local_fallback,,,,0
controlled_2000,mm1_dense_top5,retail,400,0.8825,0.95375,4.369325,268.5025,382,84,2000,707,local_fallback,,,,0
controlled_2000,mm2_hybrid_top5,airline,400,0.979792,0.99375,11.502162,219.535,400,32,2000,168,local_fallback,,,,0
controlled_2000,mm2_hybrid_top5,finance,400,0.98,0.978125,24.137976,280.2525,392,16,2000,495,local_fallback,,,,0
controlled_2000,mm2_hybrid_top5,healthcare_admin,400,1.0,1.0,11.147872,185.655,400,0,2000,64,local_fallback,,,,0
controlled_2000,mm2_hybrid_top5,research_ai,400,0.973168,0.98,50.812984,351.79,392,23,2000,655,local_fallback,,,,0
controlled_2000,mm2_hybrid_top5,retail,400,0.93875,1.0,23.560638,280.57,400,49,2000,421,local_fallback,,,,0
controlled_2000,mm3_compressed_hybrid_top5,airline,400,0.979792,0.99375,11.502162,168.3425,400,32,2000,168,local_fallback,0.769833,0.230167,0.0,20477
controlled_2000,mm3_compressed_hybrid_top5,finance,400,0.98,0.978125,24.137976,199.0775,392,16,2000,495,local_fallback,0.709472,0.290528,0.0,32470
controlled_2000,mm3_compressed_hybrid_top5,healthcare_admin,400,1.0,1.0,11.147872,149.875,400,0,2000,64,local_fallback,0.812857,0.187143,0.0,14312
controlled_2000,mm3_compressed_hybrid_top5,research_ai,400,0.973168,0.98,50.812984,250.9625,392,23,2000,655,local_fallback,0.712612,0.287388,0.0,40331
controlled_2000,mm3_compressed_hybrid_top5,retail,400,0.93875,1.0,23.560638,200.3,400,49,1999,421,local_fallback,0.714647,0.285353,0.0,32108
final_10000,mm0_no_context,airline,2000,0.0,0.0,0.0,0.0,0,4000,0,0,unavailable,,,,0
final_10000,mm0_no_context,finance,2000,0.0,0.0,0.0,0.0,0,4374,0,0,unavailable,,,,0
final_10000,mm0_no_context,healthcare_admin,2000,0.0,0.0,0.0,0.0,0,2910,0,0,unavailable,,,,0
final_10000,mm0_no_context,research_ai,2000,0.0,0.0,0.0,0.0,0,9531,0,0,unavailable,,,,0
final_10000,mm0_no_context,retail,2000,0.0,0.0,0.0,0.0,0,2431,0,0,unavailable,,,,0
final_10000,mm1_dense_top5,airline,2000,0.917167,1.0,1.445402,248.344,2000,411,10000,91,local_fallback,,,,0
final_10000,mm1_dense_top5,finance,2000,0.963,0.956725,4.99692,298.988,1932,164,10000,715,local_fallback,,,,0
final_10000,mm1_dense_top5,healthcare_admin,2000,0.9765,1.0,1.435455,243.0175,2000,94,10000,109,local_fallback,,,,0
final_10000,mm1_dense_top5,research_ai,2000,0.837368,0.963958,7.34334,281.5225,1933,1502,10000,585,local_fallback,,,,0
final_10000,mm1_dense_top5,retail,2000,0.916,0.9865,3.506648,262.301,1975,320,10000,983,local_fallback,,,,0
final_10000,mm2_hybrid_top5,airline,2000,0.979958,0.99275,11.032683,215.2815,2000,158,10000,216,local_fallback,,,,0
final_10000,mm2_hybrid_top5,finance,2000,0.979375,0.977625,23.327528,270.0055,1959,83,10000,827,local_fallback,,,,0
final_10000,mm2_hybrid_top5,healthcare_admin,2000,1.0,1.0,11.368907,186.021,2000,0,10000,64,local_fallback,,,,0
final_10000,mm2_hybrid_top5,research_ai,2000,0.967534,0.98,51.655595,354.2505,1960,210,10000,675,local_fallback,,,,0
final_10000,mm2_hybrid_top5,retail,2000,0.94325,0.99925,18.972559,269.836,2000,227,10000,1000,local_fallback,,,,0
final_10000,mm3_compressed_hybrid_top5,airline,2000,0.979958,0.99275,11.032683,165.898,2000,158,10000,216,local_fallback,0.773665,0.226335,0.0,98767
final_10000,mm3_compressed_hybrid_top5,finance,2000,0.979375,0.977625,23.327528,191.777,1959,83,10000,827,local_fallback,0.709611,0.290389,0.0,156457
final_10000,mm3_compressed_hybrid_top5,healthcare_admin,2000,1.0,1.0,11.368907,150.0925,2000,0,10000,64,local_fallback,0.812494,0.187506,0.0,71857
final_10000,mm3_compressed_hybrid_top5,research_ai,2000,0.967534,0.98,51.655595,252.694,1960,210,10000,675,local_fallback,0.712481,0.287519,0.0,203113
