vertical,metric_family,metric_name,target,observed,status,gap,recommended_action
airline,retrieval_slo,candidate_recall_at_20_min,0.9,1.0,PASS,0.1,No action required.
airline,retrieval_slo,candidate_recall_at_50_min,0.95,1.0,PASS,0.05,No action required.
airline,retrieval_slo,final_recall_at_5_min,0.9,1.0,PASS,0.1,No action required.
airline,retrieval_slo,mrr_min,0.85,1.0,PASS,0.15,No action required.
airline,quality_slo,groundedness_min,0.95,,NOT_AVAILABLE,,Run an experiment/report that measures quality_slo.
airline,quality_slo,citation_accuracy_min,0.9,,NOT_AVAILABLE,,Run an experiment/report that measures quality_slo.
airline,quality_slo,evidence_match_min,0.9,,NOT_AVAILABLE,,Run an experiment/report that measures quality_slo.
airline,quality_slo,task_success_min,0.9,,NOT_AVAILABLE,,Run an experiment/report that measures quality_slo.
airline,quality_slo,format_validity_min,0.95,,NOT_AVAILABLE,,Run an experiment/report that measures quality_slo.
airline,quality_slo,safety_violations_max,0,,NOT_AVAILABLE,,Run an experiment/report that measures quality_slo.
airline,latency_slo,ttft_p50_ms_max,500,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,ttft_p95_ms_max,1000,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,ttft_p99_ms_max,2000,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,itl_p50_ms_max,25,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,itl_p95_ms_max,50,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,itl_p99_ms_max,100,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,tpot_p50_ms_max,25,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,tpot_p95_ms_max,50,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,tpot_p99_ms_max,100,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,e2e_p50_ms_max,2500,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,e2e_p95_ms_max,4000,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,latency_slo,e2e_p99_ms_max,7000,,NOT_AVAILABLE,,Run an experiment/report that measures latency_slo.
airline,throughput_slo,requests_per_second_min,0.5,,NOT_AVAILABLE,,Run an experiment/report that measures throughput_slo.
airline,throughput_slo,tokens_per_second_min,20.0,,NOT_AVAILABLE,,Run an experiment/report that measures throughput_slo.
airline,throughput_slo,successful_requests_per_second_min,0.45,,NOT_AVAILABLE,,Run an experiment/report that measures throughput_slo.
airline,resource_slo,gpu_utilization_min_pct,50.0,,NOT_AVAILABLE,,Run an experiment/report that measures resource_slo.
airline,resource_slo,gpu_memory_utilization_max_pct,95.0,,NOT_AVAILABLE,,Run an experiment/report that measures resource_slo.
airline,resource_slo,gpu_memory_peak_gb_max,80.0,,NOT_AVAILABLE,,Run an experiment/report that measures resource_slo.
airline,resource_slo,cpu_utilization_max_pct,90.0,,NOT_AVAILABLE,,Run an experiment/report that measures resource_slo.
airline,resource_slo,ram_usage_gb_max,64.0,,NOT_AVAILABLE,,Run an experiment/report that measures resource_slo.
airline,api_cost_slo,input_tokens_per_request_max,12000,,NOT_AVAILABLE,,Run an experiment/report that measures api_cost_slo.
airline,api_cost_slo,output_tokens_per_request_max,1024,,NOT_AVAILABLE,,Run an experiment/report that measures api_cost_slo.
airline,api_cost_slo,total_tokens_per_request_max,13000,,NOT_AVAILABLE,,Run an experiment/report that measures api_cost_slo.
airline,api_cost_slo,api_cost_per_request_usd_max,0.05,,NOT_AVAILABLE,,Run an experiment/report that measures api_cost_slo.
airline,api_cost_slo,api_cost_per_1000_requests_usd_max,50.0,,NOT_AVAILABLE,,Run an experiment/report that measures api_cost_slo.
airline,api_cost_slo,api_cost_per_successful_answer_usd_max,0.1,,NOT_AVAILABLE,,Run an experiment/report that measures api_cost_slo.
airline,api_cost_slo,api_cost_per_grounded_successful_answer_usd_max,0.15,,NOT_AVAILABLE,,Run an experiment/report that measures api_cost_slo.
airline,gpu_cost_slo,gpu_hourly_price_usd_required,True,,NOT_AVAILABLE,,Run an experiment/report that measures gpu_cost_slo.
