prefix_family_id,prompt_id,vertical,memory_mode,total_input_tokens_estimated,exact_shared_prefix_tokens_estimated,variable_suffix_tokens_estimated,reusable_token_ratio_estimated,tokenizer,measurement_type
prefix_family_b797a07febd8,airline_scaleup_2000_0001,airline,mm2_hybrid_top5,296,28,268,0.094595,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0002,airline,mm2_hybrid_top5,309,28,281,0.090615,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0003,airline,mm2_hybrid_top5,335,28,307,0.083582,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0004,airline,mm2_hybrid_top5,329,28,301,0.085106,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0005,airline,mm2_hybrid_top5,345,28,317,0.081159,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0006,airline,mm2_hybrid_top5,310,28,282,0.090323,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0007,airline,mm2_hybrid_top5,303,28,275,0.092409,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0008,airline,mm2_hybrid_top5,381,28,353,0.073491,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0009,airline,mm2_hybrid_top5,320,28,292,0.0875,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0010,airline,mm2_hybrid_top5,350,28,322,0.08,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0011,airline,mm2_hybrid_top5,351,28,323,0.079772,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0012,airline,mm2_hybrid_top5,328,28,300,0.085366,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0013,airline,mm2_hybrid_top5,376,28,348,0.074468,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0014,airline,mm2_hybrid_top5,269,28,241,0.104089,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0015,airline,mm2_hybrid_top5,349,28,321,0.080229,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0016,airline,mm2_hybrid_top5,348,28,320,0.08046,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0017,airline,mm2_hybrid_top5,324,28,296,0.08642,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0018,airline,mm2_hybrid_top5,326,28,298,0.08589,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0019,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0020,airline,mm2_hybrid_top5,384,28,356,0.072917,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0021,airline,mm2_hybrid_top5,321,28,293,0.087227,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0022,airline,mm2_hybrid_top5,272,28,244,0.102941,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0023,airline,mm2_hybrid_top5,297,28,269,0.094276,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0024,airline,mm2_hybrid_top5,307,28,279,0.091205,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0025,airline,mm2_hybrid_top5,354,28,326,0.079096,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0026,airline,mm2_hybrid_top5,309,28,281,0.090615,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0027,airline,mm2_hybrid_top5,252,28,224,0.111111,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0028,airline,mm2_hybrid_top5,335,28,307,0.083582,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0029,airline,mm2_hybrid_top5,314,28,286,0.089172,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0030,airline,mm2_hybrid_top5,367,28,339,0.076294,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0031,airline,mm2_hybrid_top5,346,28,318,0.080925,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0032,airline,mm2_hybrid_top5,298,28,270,0.09396,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0033,airline,mm2_hybrid_top5,376,28,348,0.074468,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0034,airline,mm2_hybrid_top5,322,28,294,0.086957,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0035,airline,mm2_hybrid_top5,353,28,325,0.07932,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0036,airline,mm2_hybrid_top5,354,28,326,0.079096,repo_regex_tokenizer_v1,estimated
prefix_family_b797a07febd8,airline_scaleup_2000_0037,airline,mm2_hybrid_top5,274,28,246,0.10219,repo_regex_tokenizer_v1,estimated
