backend_type,concurrency,config_id,engine,evidence_match_rate,generation_contract_valid_rate,gpu_telemetry_scope,grounded_rate,json_valid_rate,mean_e2e_latency_ms,mean_total_tokens_per_second,mean_tpot_ms,mean_ttft_ms,memory_mode,model_alias,model_id,requests_attempted,requests_completed,requests_failed,runtime,safety_violation_count,status,total_cost_usd,total_input_tokens,total_output_tokens
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm0_no_context_c16,vllm,0.0861,0.8023,self_hosted_gpu,0.0861,0.9995,719.750725892419,610.3187153786731,35.56135885066305,91.98118341027293,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,0,COMPLETED,0.0,3918541,188972
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm0_no_context_c32,vllm,0.0869,0.803,self_hosted_gpu,0.0869,0.9996,1033.255416667508,425.90961440154865,49.614711151765874,161.12675123289227,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,0,COMPLETED,0.0,3918541,188620
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm1_dense_top5_c16,vllm,0.6457,0.7817,self_hosted_gpu,0.6281,0.9994,1454.7717375665438,671.8122786824698,40.745296116579205,139.8450675511267,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,113,COMPLETED,0.0,8468038,342958
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm1_dense_top5_c32,vllm,0.6437,0.7816,self_hosted_gpu,0.6258,0.9994,1997.4780602448102,508.466291224188,53.124044480321764,286.1600860880455,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,111,COMPLETED,0.0,8468038,342823
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm2_hybrid_top5_c16,vllm,0.6504,0.7811,self_hosted_gpu,0.6318,0.9994,1452.148399547278,672.0153586841773,40.463874684906656,143.22064794222825,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,93,COMPLETED,0.0,8468038,342872
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,vllm,0.6468,0.7815,self_hosted_gpu,0.6285,0.9993,2019.22131577335,502.79701853201266,54.04675696413298,283.30172975088936,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,96,COMPLETED,0.0,8468038,342228
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c16,vllm,0.6586,0.7808,self_hosted_gpu,0.6397,0.9993,1459.2699461548123,669.6950214052981,40.59373187425101,145.29265366615726,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,98,COMPLETED,0.0,8468038,343853
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,vllm,0.6598,0.7813,self_hosted_gpu,0.6413,0.9994,2023.6398774115414,501.17237271214555,53.56335493341388,285.0637100548949,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,99,COMPLETED,0.0,8468038,344118
self_hosted_gpu,16,self_hosted_model3_7b_vllm_mm4_bounded_agentic_c16,vllm,0.65,0.8028,self_hosted_gpu,0.6464,0.9937,1462.8516297677766,709.8042700975705,44.428522202573404,151.58857817461248,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,66,COMPLETED,0.0,8918038,308368
self_hosted_gpu,32,self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,vllm,0.6525,0.8022,self_hosted_gpu,0.6487,0.9935,2056.2301541306088,524.7496423105015,59.01051439221024,317.8593107362743,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,vllm,65,COMPLETED,0.0,8918038,308230
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm0_no_context_c16,sglang,0.0865,0.7995,self_hosted_gpu,0.0865,0.9998,887.1226403494599,498.0161636282003,36.827959544248,104.89445865869057,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,0,COMPLETED,0.0,3918541,220593
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm0_no_context_c32,sglang,0.0861,0.7994,self_hosted_gpu,0.0861,0.9996,1170.7076021348125,385.52229208529127,45.53746166560973,209.64323826357722,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,0,COMPLETED,0.0,3918541,220915
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm1_dense_top5_c16,sglang,0.6669,0.7788,self_hosted_gpu,0.6469,0.9989,1583.620089085307,613.8218916676661,42.071809008610465,145.59460873899516,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,175,COMPLETED,0.0,8468038,358536
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm1_dense_top5_c32,sglang,0.668,0.7789,self_hosted_gpu,0.648,0.9992,2113.2962029823134,478.1980192832973,53.04785783076035,309.56331040663645,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,168,COMPLETED,0.0,8468038,358379
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,sglang,0.674,0.7781,self_hosted_gpu,0.6533,0.9996,1580.0068671637914,614.6013803140698,41.97829402979941,144.24406577791086,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,180,COMPLETED,0.0,8468038,359300
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,sglang,0.6735,0.7785,self_hosted_gpu,0.653,0.9995,2137.6214311238473,473.6535926832267,53.68995223299407,304.0187856692355,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,177,COMPLETED,0.0,8468038,359546
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,sglang,0.6666,0.7774,self_hosted_gpu,0.645,0.9994,1581.096850817767,615.0635508920531,41.88602375867746,148.900809203228,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,161,COMPLETED,0.0,8468038,359765
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,sglang,0.6735,0.7784,self_hosted_gpu,0.653,0.9987,2139.5405427216538,469.39031174461917,53.3898446923157,319.1842856069328,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,167,COMPLETED,0.0,8468038,359780
self_hosted_gpu,16,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c16,sglang,0.6489,0.7971,self_hosted_gpu,0.6454,0.9946,1576.9587909614668,656.5488384241138,45.41423606801813,163.74819513750262,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,90,COMPLETED,0.0,8918038,322081
self_hosted_gpu,32,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,sglang,0.6499,0.7976,self_hosted_gpu,0.6468,0.9943,2157.2594251903915,499.1863934308827,59.03592484942225,327.6429359963862,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,10000,10000,0,sglang,93,COMPLETED,0.0,8918038,322312
