layout_id,longest_exact_common_prefix_tokens,mean_input_tokens,mean_reusable_token_ratio,median_input_tokens,memory_mode,p95_input_tokens,p99_input_tokens,request_count,scenario_id,source,variable_suffix_tokens_mean,vertical
baseline_prompt_layout_v1,29,384.5135,0.075436,384.0,mm0_no_context,396.0,403.0,2000,coreopt_prefix_layout_static_v1,static_analysis,355.5135,airline
baseline_prompt_layout_v1,29,379.812,0.076366,381.0,mm0_no_context,387.0,392.0,2000,coreopt_prefix_layout_static_v1,static_analysis,350.812,finance
baseline_prompt_layout_v1,29,376.3655,0.077056,377.0,mm0_no_context,379.0,380.0,2000,coreopt_prefix_layout_static_v1,static_analysis,347.3655,healthcare_admin
baseline_prompt_layout_v1,29,383.959,0.075558,384.0,mm0_no_context,397.0,409.01,2000,coreopt_prefix_layout_static_v1,static_analysis,354.959,research_ai
baseline_prompt_layout_v1,29,383.4245,0.075678,384.0,mm0_no_context,399.0,404.0,2000,coreopt_prefix_layout_static_v1,static_analysis,354.4245,retail
baseline_prompt_layout_v1,29,917.344,0.031789,923.0,mm1_dense_top5,1009.0,1066.07,2000,coreopt_prefix_layout_static_v1,static_analysis,888.344,airline
baseline_prompt_layout_v1,29,1061.8985,0.027552,1046.0,mm1_dense_top5,1308.0,1631.55,2000,coreopt_prefix_layout_static_v1,static_analysis,1032.8985,finance
baseline_prompt_layout_v1,29,934.147,0.031222,916.0,mm1_dense_top5,1055.0,1064.0,2000,coreopt_prefix_layout_static_v1,static_analysis,905.147,healthcare_admin
baseline_prompt_layout_v1,29,1114.9315,0.026693,1025.0,mm1_dense_top5,1552.0,1737.0,2000,coreopt_prefix_layout_static_v1,static_analysis,1085.9315,research_ai
baseline_prompt_layout_v1,29,987.6565,0.029707,971.0,mm1_dense_top5,1228.0,1342.01,2000,coreopt_prefix_layout_static_v1,static_analysis,958.6565,retail
baseline_prompt_layout_v1,29,892.2195,0.032615,888.0,mm2_hybrid_top5,984.0,1000.0,2000,coreopt_prefix_layout_static_v1,static_analysis,863.2195,airline
baseline_prompt_layout_v1,29,1067.805,0.02741,1045.0,mm2_hybrid_top5,1404.45,1594.0,2000,coreopt_prefix_layout_static_v1,static_analysis,1038.805,finance
