layout_id,mean_section_chars,mean_section_tokens,median_section_tokens,memory_mode,p95_section_tokens,raw_text_included,request_count,scenario_id,section_id,section_role,unique_section_hash_count,vertical
baseline_prompt_layout_v1,27,4,4.0,mm0_no_context,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,airline
baseline_prompt_layout_v1,1768,329,329.0,mm0_no_context,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,airline
baseline_prompt_layout_v1,55,9,9.0,mm0_no_context,9.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,1,airline
baseline_prompt_layout_v1,68,13,13.0,mm0_no_context,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,airline
baseline_prompt_layout_v1,147.2475,29.5135,29.0,mm0_no_context,41.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,2000,airline
baseline_prompt_layout_v1,27,4,4.0,mm0_no_context,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,finance
baseline_prompt_layout_v1,1768,329,329.0,mm0_no_context,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,finance
baseline_prompt_layout_v1,55,9,9.0,mm0_no_context,9.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,1,finance
baseline_prompt_layout_v1,68,13,13.0,mm0_no_context,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,finance
baseline_prompt_layout_v1,131.634,24.812,26.0,mm0_no_context,32.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,766,finance
baseline_prompt_layout_v1,27,4,4.0,mm0_no_context,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,healthcare_admin
baseline_prompt_layout_v1,1768,329,329.0,mm0_no_context,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,healthcare_admin
baseline_prompt_layout_v1,55,9,9.0,mm0_no_context,9.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,1,healthcare_admin
baseline_prompt_layout_v1,68,13,13.0,mm0_no_context,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,healthcare_admin
baseline_prompt_layout_v1,126.242,21.3655,22.0,mm0_no_context,24.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,128,healthcare_admin
baseline_prompt_layout_v1,27,4,4.0,mm0_no_context,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,research_ai
baseline_prompt_layout_v1,1768,329,329.0,mm0_no_context,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,research_ai
baseline_prompt_layout_v1,55,9,9.0,mm0_no_context,9.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,1,research_ai
baseline_prompt_layout_v1,68,13,13.0,mm0_no_context,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,research_ai
baseline_prompt_layout_v1,179.512,28.959,29.0,mm0_no_context,42.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,809,research_ai
baseline_prompt_layout_v1,27,4,4.0,mm0_no_context,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,retail
baseline_prompt_layout_v1,1768,329,329.0,mm0_no_context,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,retail
baseline_prompt_layout_v1,55,9,9.0,mm0_no_context,9.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,1,retail
baseline_prompt_layout_v1,68,13,13.0,mm0_no_context,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,retail
baseline_prompt_layout_v1,150.749,28.4245,29.0,mm0_no_context,44.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,1002,retail
baseline_prompt_layout_v1,27,4,4.0,mm1_dense_top5,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,airline
baseline_prompt_layout_v1,1768,329,329.0,mm1_dense_top5,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,airline
baseline_prompt_layout_v1,2646.467,541.8305,548.0,mm1_dense_top5,630.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,208,airline
baseline_prompt_layout_v1,68,13,13.0,mm1_dense_top5,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,airline
baseline_prompt_layout_v1,147.2475,29.5135,29.0,mm1_dense_top5,41.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,2000,airline
baseline_prompt_layout_v1,27,4,4.0,mm1_dense_top5,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,finance
baseline_prompt_layout_v1,1768,329,329.0,mm1_dense_top5,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,finance
baseline_prompt_layout_v1,4202.926,691.0865,678.0,mm1_dense_top5,923.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,342,finance
baseline_prompt_layout_v1,68,13,13.0,mm1_dense_top5,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,finance
baseline_prompt_layout_v1,131.634,24.812,26.0,mm1_dense_top5,32.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,766,finance
baseline_prompt_layout_v1,27,4,4.0,mm1_dense_top5,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,healthcare_admin
baseline_prompt_layout_v1,1768,329,329.0,mm1_dense_top5,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,healthcare_admin
baseline_prompt_layout_v1,2912.2795,566.7815,549.0,mm1_dense_top5,688.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,272,healthcare_admin
baseline_prompt_layout_v1,68,13,13.0,mm1_dense_top5,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,healthcare_admin
baseline_prompt_layout_v1,126.242,21.3655,22.0,mm1_dense_top5,24.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,128,healthcare_admin
baseline_prompt_layout_v1,27,4,4.0,mm1_dense_top5,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,research_ai
baseline_prompt_layout_v1,1768,329,329.0,mm1_dense_top5,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,research_ai
baseline_prompt_layout_v1,5987.0415,739.9725,643.0,mm1_dense_top5,1181.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,446,research_ai
baseline_prompt_layout_v1,68,13,13.0,mm1_dense_top5,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,research_ai
baseline_prompt_layout_v1,179.512,28.959,29.0,mm1_dense_top5,42.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,809,research_ai
baseline_prompt_layout_v1,27,4,4.0,mm1_dense_top5,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,retail
baseline_prompt_layout_v1,1768,329,329.0,mm1_dense_top5,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,retail
baseline_prompt_layout_v1,3510.35,613.232,589.0,mm1_dense_top5,861.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,854,retail
baseline_prompt_layout_v1,68,13,13.0,mm1_dense_top5,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,retail
baseline_prompt_layout_v1,150.749,28.4245,29.0,mm1_dense_top5,44.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,1002,retail
baseline_prompt_layout_v1,28,4,4.0,mm2_hybrid_top5,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,airline
baseline_prompt_layout_v1,1768,329,329.0,mm2_hybrid_top5,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,airline
baseline_prompt_layout_v1,2519.1465,516.706,508.0,mm2_hybrid_top5,615.0,False,2000,coreopt_prefix_layout_static_v1,retrieved_evidence,dynamic,262,airline
baseline_prompt_layout_v1,68,13,13.0,mm2_hybrid_top5,13.0,False,2000,coreopt_prefix_layout_static_v1,system,stable,1,airline
baseline_prompt_layout_v1,147.2475,29.5135,29.0,mm2_hybrid_top5,41.0,False,2000,coreopt_prefix_layout_static_v1,user_question,dynamic,2000,airline
baseline_prompt_layout_v1,28,4,4.0,mm2_hybrid_top5,4.0,False,2000,coreopt_prefix_layout_static_v1,memory_mode,stable,1,finance
baseline_prompt_layout_v1,1768,329,329.0,mm2_hybrid_top5,329.0,False,2000,coreopt_prefix_layout_static_v1,output_contract,stable,1,finance
